Order_ID,Order_Date,Customer_Name,Product,Category,Quantity,Unit_Price,State,Salesperson
1001,2024-12-31,Rahul Sharma,Laptop,Electronics,2,55000,West Bengal,Amit
1002,2025-01-01,Priya Das,Mouse,Electronics,5,450,West Bengal,Rina
1003,2025-01-02,Arjun Roy,Keyboard,Electronics,3,1200,West Bengal,Soumya
1004,2025-03-31,Sneha Paul,Office chair,Furniture,1,7500,West Bengal,Raj
1005,2025-04-30,Unknown Customer,Desk,Furniture,2,8500,West Bengal,Amit
1006,2025-05-31,Rahul Sharma,Laptop,Electronics,1,55000,West Bengal,Amit
1007,2025-06-30,Ananya Ghosh,Monitor,Electronics,2,15000,West Bengal,Rina
1008,2025-07-31,Debjit Sen,Printer,Electronics,0,12000,West Bengal,Soumya
1009,2025-08-31,Sourav Dey,Desk,Furniture,1,0,West Bengal,Raj
1010,2025-09-30,Priya Das,Mouse,Electronics,4,450,West Bengal,Rina
1011,2025-01-10,Ritika Roy,Laptop,Electronics,0,55000,West Bengal,Amit
1012,2025-11-30,Arjun Roy,Keyboard,Unknown Category,2,1200,West Bengal,Soumya
1013,2025-01-13,Rohan Gupta,Office chair,Furniture,1,7500,West Bengal,Raj
1014,2025-01-14,Neha Das,Desk,Furniture,2,8500,West Bengal,Raj
1015,2025-01-15,Ananya Ghosh,Monitor,Electronics,1,15000,West Bengal,Rina
1016,2025-01-16,Debjit Sen,Printer,Electronics,2,12000,West Bengal,Soumya
1017,2025-01-17,Ritika Roy,Laptop,Electronics,1,55000,West Bengal,Amit
1018,2025-01-18,Sourav Dey,Desk,Furniture,1,8500,West Bengal,Raj
1019,2025-01-18,Priya Das,Mouse,Electronics,3,450,West Bengal,Rina
1020,2025-01-20,Rahul Sharma,Laptop,Electronics,1,55000,West Bengal,Amit
1021,2025-01-21,Unknown Customer,Monitor,Electronics,2,15000,West Bengal,Rina
1022,2025-01-22,Rohan Gupta,Office chair,Furniture,0,7500,West Bengal,Raj
1023,2025-01-23,Neha Das,Desk,Furniture,2,8500,West Bengal,Raj
1024,2025-01-24,Ananya Ghosh,Monitor,Electronics,1,15000,West Bengal,Rina
1024,2025-01-24,Ananya Ghosh,Monitor,Electronics,1,15000,West Bengal,Rina
